logte,A94,A131,A171,A193,A211,A304,A335
4.0,4.002369117583815e-37,3.324776068599237e-37,4.611988338678667e-32,6.062474832171641e-32,3.8019324050906805e-32,3.5669924610593677e-32,2.3179397959675526e-32
4.0500002,4.1048380495828774e-36,3.365173146519921e-36,3.564306943051229e-31,4.667766817821209e-31,2.9239079548711245e-31,2.753824893082929e-31,1.7792424564906195e-31
4.0999999,3.3627615326659746e-35,2.7325585877801363e-35,2.1440238764922656e-30,2.7980851298213374e-30,1.750610154501659e-30,1.656030612580338e-30,1.0632657298857992e-30
4.1500001,2.0550542361857813e-34,1.6666580674268092e-34,9.328656585905399e-30,1.2135149428525702e-29,7.58391208296044e-30,7.2090582735225e-30,4.5982779277463755e-30
4.1999998,8.456819862106845e-34,6.955086595496669e-34,2.5435287350446714e-29,3.298299691163236e-29,2.0601154128569285e-29,1.9688606643910468e-29,1.2477540585349713e-29
4.25,2.531227891878928e-33,2.163549108354093e-33,4.335760357943956e-29,5.60262442794382e-29,3.5041237782730273e-29,3.370595669287902e-29,2.1251689877474088e-29
4.3000002,7.071670918209553e-33,6.334925051876392e-33,5.793033485121073e-29,7.448945628943105e-29,4.691927857118754e-29,4.553501566493466e-29,2.8698017424331624e-29
4.3499999,1.9977098519604379e-32,1.842235296219784e-32,7.622868071352035e-29,9.725962869425998e-29,6.240040533954922e-29,6.13565484482515e-29,3.903354668910075e-29
4.4000001,5.09829084838714e-32,4.7375292728390786e-32,1.102013403394106e-28,1.392466338564824e-28,9.174125788126553e-29,9.18532719126239e-29,5.926602484213794e-29
4.4499998,9.732532503012993e-32,8.978666226318365e-32,1.6479830565476975e-28,2.069978006896822e-28,1.3835624949905349e-28,1.4486503294018952e-28,9.113056615424265e-29
4.5,1.267914713985903e-31,1.1465089318142954e-31,2.3035517308813113e-28,2.897098622522608e-28,1.9158533364270067e-28,2.479071886070916e-28,1.2530708453599868e-28
4.5500002,1.335452063775456e-31,1.1631905990037106e-31,3.150649661550819e-28,3.9787966465428856e-28,2.5706523923455835e-28,5.923470337541858e-28,1.6467836637025556e-28
4.5999999,1.447287918440345e-31,1.1834881708994264e-31,4.487474821511101e-28,5.679365885902648e-28,3.600044077524844e-28,1.850153698614455e-27,2.2710635381908255e-28
4.6500001,1.8451965415966118e-31,1.377745119515985e-31,6.780149237646427e-28,8.585084684944365e-28,5.3987416459037255e-28,5.93508431686164e-27,3.3940740119927792e-28
4.6999998,2.8032512345271905e-31,1.922004598875274e-31,1.0683045436159264e-27,1.3550981642995452e-27,8.574450590605813e-28,1.7488655910610784e-26,5.4111135433275425e-28
4.75,4.7435426606351015e-31,3.4654198826791535e-31,1.6831911058181264e-27,2.1518564712562126e-27,1.3935933533478611e-27,4.570888464136504e-26,8.78687559143962e-28
4.8000002,8.175182691695072e-31,9.384766176729627e-31,2.5730146950530077e-27,3.3576119135683504e-27,2.2636178569888868e-27,1.0272928111967806e-25,1.3961323099376618e-27
4.8499999,1.327321708060208e-30,3.3093539505332315e-30,3.7516972531012426e-27,5.069910291462554e-27,3.5699756661460554e-27,1.857257666320062e-25,2.0890014657294643e-27
4.9000001,1.9350276323456743e-30,1.0236763758099025e-29,5.1280696227166505e-27,7.175706184696053e-27,5.162911169338176e-27,2.4907016570615744e-25,2.8320289201768955e-27
4.9499998,2.5812898744286678e-30,2.3588020241969339e-29,6.567424628500008e-27,9.349787605118385e-27,6.682724275212352e-27,2.495486692111167e-25,3.508664282909864e-27
5.0,3.3205900640648285e-30,4.3541384501921233e-29,8.073673846532146e-27,1.1544263802725589e-26,8.126902973850014e-27,2.0912919826405925e-25,4.1740494774067315e-27
5.0500002,4.206001732752344e-30,7.273300542792348e-29,9.776329297273792e-27,1.4058099231440235e-26,9.827398576656912e-27,1.6319972963339448e-25,4.895682035172117e-27
5.0999999,5.2600498341476476e-30,1.2125085713230295e-28,1.199723485469596e-26,1.7445278809182628e-26,1.2166604812983393e-26,1.2582781317729323e-25,5.6897918711514146e-27
5.1500001,6.424076136219035e-30,2.1294237375000574e-28,1.5316875777426606e-26,2.2572703559803588e-26,1.5411164705457495e-26,9.833402495087987e-26,6.535727129610698e-27
5.1999998,7.605227740800645e-30,3.867844413783215e-28,2.0526670094422378e-26,3.07789395242396e-26,1.9558613439336576e-26,7.877280580943607e-26,7.34940233749084e-27
5.25,8.869788852879226e-30,6.874338403327214e-28,2.8311267500815716e-26,4.3728683109132684e-26,2.4136031341610414e-26,6.468525347175329e-26,7.935479887201598e-27
5.3000002,1.0711154948881347e-29,1.1675049167520124e-27,3.8974181655236645e-26,6.27733992707417e-26,2.83128048626812e-26,5.421130766291871e-26,8.207289069136298e-27
5.3499999,1.4452646096436915e-29,1.9904004276633145e-27,5.191394816479103e-26,8.671863825500207e-26,3.144867628517547e-26,4.6051119020968156e-26,8.274642809254946e-27
5.4000001,2.287478548816348e-29,3.670311077005125e-27,6.368582863583364e-26,1.0652025455449375e-25,3.221261432451887e-26,3.842732351616645e-26,7.785341242269729e-27
5.4499998,4.1003321622005717e-29,6.96440936268975e-27,6.72415992640703e-26,1.0553306473668208e-25,2.8568755512501346e-26,2.969483044016977e-26,6.203334199131175e-27
5.5,7.628949962464247e-29,1.1966024784296891e-26,6.329040715019195e-26,8.619968665776141e-26,2.2828959206325277e-26,2.109160907835904e-26,4.2074372651867095e-27
5.5500002,1.3691035117181485e-28,1.8300904253623314e-26,7.319316139520342e-26,7.665067197621996e-26,2.0352521925589593e-26,1.5175826700381832e-26,3.1275077707201573e-27
5.5999999,2.280145754624005e-28,2.558031601210246e-26,1.2180068039366994e-25,8.515275422418546e-26,2.1428053758872802e-26,1.1762728098991498e-26,3.007054193400543e-27
5.6500001,3.4850348310807443e-28,3.2619547504679947e-26,2.2739172758773176e-25,1.0305821411665983e-25,2.402543299587036e-26,9.713965999583053e-27,3.326503416168708e-27
5.6999998,4.914758774750139e-28,3.7638051402164114e-26,3.9899344656732225e-25,1.2284346188277543e-25,2.701152141735467e-26,8.441668928746628e-27,3.7556766811638675e-27
5.75,6.492119641470523e-28,3.911076951423762e-26,6.274090682582837e-25,1.4089286513328405e-25,3.0131465323649884e-26,7.693911608683279e-27,4.155641050379033e-27
5.8000002,8.219468779141923e-28,3.6759620452194085e-26,8.787473901239301e-25,1.5626161257889653e-25,3.343583126621372e-26,7.252157131689094e-27,4.473440062964445e-27
5.8499999,1.017869711830639e-27,3.1669637533008613e-26,1.0959548231920411e-24,1.704019031635099e-25,3.696638098529304e-26,6.974616756337814e-27,4.729636342301258e-27
5.9000001,1.2348738665400994e-27,2.5091883408413954e-26,1.2099750135681227e-24,1.8834078332272957e-25,4.0608423670372785e-26,6.773141169761078e-27,4.897260398011692e-27
5.9499998,1.4401317357622571e-27,1.8172548761583785e-26,1.1631177776849608e-24,2.2111196976758532e-25,4.42821144038885e-26,6.525529523101403e-27,4.86826054757745e-27
